FSRQ,DWJZ,JZZZL,SGZT,SHZT
2019-04-24,1.0662,0.25,开放申购,开放赎回
2019-04-25,1.0441,-2.07,开放申购,开放赎回
2019-04-26,1.0310,-1.25,开放申购,开放赎回
2019-04-29,1.0338,0.27,开放申购,开放赎回
2019-04-30,1.0370,0.31,开放申购,开放赎回
2019-05-06,0.9799,-5.51,开放申购,开放赎回
2019-05-07,0.9890,0.93,开放申购,开放赎回
2019-05-08,0.9758,-1.33,开放申购,开放赎回
2019-05-09,0.9588,-1.74,开放申购,开放赎回
2019-05-10,0.9916,3.42,开放申购,开放赎回
2019-05-13,0.9761,-1.56,开放申购,开放赎回
2019-05-14,0.9704,-0.58,开放申购,开放赎回
2019-05-15,0.9911,2.13,开放申购,开放赎回
2019-05-16,0.9952,0.41,开放申购,开放赎回
2019-05-17,0.9711,-2.42,开放申购,开放赎回
2019-05-20,0.9633,-0.80,开放申购,开放赎回
2019-05-21,0.9757,1.29,开放申购,开放赎回
2019-05-22,0.9714,-0.44,开放申购,开放赎回
2019-05-23,0.9562,-1.56,开放申购,开放赎回
2019-05-24,0.9589,0.28,开放申购,开放赎回
2019-05-27,0.9702,1.18,开放申购,开放赎回
2019-05-28,0.9793,0.94,开放申购,开放赎回
2019-05-29,0.9774,-0.19,开放申购,开放赎回
2019-05-30,0.9722,-0.53,开放申购,开放赎回
2019-05-31,0.9699,-0.24,开放申购,开放赎回
2019-06-03,0.9709,0.10,开放申购,开放赎回
2019-06-04,0.9625,-0.87,开放申购,开放赎回
2019-06-05,0.9624,-0.01,开放申购,开放赎回
2019-06-06,0.9545,-0.82,开放申购,开放赎回
2019-06-10,0.9659,1.19,开放申购,开放赎回
2019-06-11,0.9943,2.94,开放申购,开放赎回
2019-06-12,0.9873,-0.70,开放申购,开放赎回
2019-06-13,0.9859,-0.14,开放申购,开放赎回
2019-06-14,0.9789,-0.71,开放申购,开放赎回
2019-06-17,0.9787,-0.02,开放申购,开放赎回
2019-06-18,0.9819,0.33,开放申购,开放赎回
2019-06-19,0.9958,1.42,开放申购,开放赎回
2019-06-20,1.0244,2.87,开放申购,开放赎回
2019-06-21,1.0258,0.14,开放申购,开放赎回
2019-06-24,1.0278,0.20,开放申购,开放赎回
2019-06-25,1.0177,-0.98,开放申购,开放赎回
2019-06-26,1.0163,-0.14,开放申购,开放赎回
2019-06-27,1.0270,1.05,开放申购,开放赎回
2019-06-28,1.0255,-0.15,开放申购,开放赎回
2019-06-30,1.0255,,开放申购,开放赎回
2019-07-01,1.0533,2.71,开放申购,开放赎回
2019-07-02,1.0537,0.04,开放申购,开放赎回
2019-07-03,1.0431,-1.01,开放申购,开放赎回
2019-07-04,1.0380,-0.49,开放申购,开放赎回
2019-07-05,1.0434,0.52,开放申购,开放赎回
2019-07-08,1.0209,-2.16,开放申购,开放赎回
2019-07-09,1.0193,-0.16,开放申购,开放赎回
2019-07-10,1.0181,-0.12,开放申购,开放赎回
2019-07-11,1.0186,0.05,开放申购,开放赎回
2019-07-12,1.0261,0.74,开放申购,开放赎回
2019-07-15,1.0300,0.38,开放申购,开放赎回
2019-07-16,1.0257,-0.42,开放申购,开放赎回
2019-07-17,1.0253,-0.04,开放申购,开放赎回
2019-07-18,1.0165,-0.86,开放申购,开放赎回
2019-07-19,1.0268,1.01,开放申购,开放赎回
2019-07-22,1.0255,-0.13,开放申购,开放赎回
2019-07-23,1.0281,0.25,开放申购,开放赎回
2019-07-24,1.0358,0.75,开放申购,开放赎回
2019-07-25,1.0439,0.78,开放申购,开放赎回
2019-07-26,1.0459,0.19,开放申购,开放赎回
2019-07-29,1.0448,-0.11,开放申购,开放赎回
2019-07-30,1.0490,0.40,开放申购,开放赎回
2019-07-31,1.0403,-0.83,开放申购,开放赎回
2019-08-01,1.0321,-0.79,开放申购,开放赎回
2019-08-02,1.0182,-1.35,开放申购,开放赎回
2019-08-05,1.0000,-1.79,开放申购,开放赎回
2019-08-06,0.9908,-0.92,开放申购,开放赎回
2019-08-07,0.9869,-0.39,开放申购,开放赎回
2019-08-08,0.9996,1.29,开放申购,开放赎回
2019-08-09,0.9906,-0.90,开放申购,开放赎回
2019-08-12,1.0073,1.69,开放申购,开放赎回
2019-08-13,0.9989,-0.83,开放申购,开放赎回
2019-08-14,1.0031,0.42,开放申购,开放赎回
2019-08-15,1.0066,0.35,开放申购,开放赎回
2019-08-16,1.0110,0.44,开放申购,开放赎回
2019-08-19,1.0316,2.04,开放申购,开放赎回
2019-08-20,1.0307,-0.09,开放申购,开放赎回
2019-08-21,1.0292,-0.15,开放申购,开放赎回
2019-08-22,1.0322,0.29,开放申购,开放赎回
2019-08-23,1.0393,0.69,开放申购,开放赎回
2019-08-26,1.0249,-1.39,开放申购,开放赎回
2019-08-27,1.0382,1.30,开放申购,开放赎回
2019-08-28,1.0344,-0.37,开放申购,开放赎回
2019-08-29,1.0311,-0.32,开放申购,开放赎回
2019-08-30,1.0335,0.23,开放申购,开放赎回
2019-09-02,1.0461,1.22,开放申购,开放赎回
2019-09-03,1.0474,0.12,开放申购,开放赎回
2019-09-04,1.0565,0.87,开放申购,开放赎回
2019-09-05,1.0669,0.98,开放申购,开放赎回
2019-09-06,1.0729,0.56,开放申购,开放赎回
2019-09-09,1.0792,0.59,开放申购,开放赎回
2019-09-10,1.0757,-0.32,开放申购,开放赎回
2019-09-11,1.0681,-0.71,开放申购,开放赎回
2019-09-12,1.0790,1.02,开放申购,开放赎回
2019-09-16,1.0751,-0.36,开放申购,开放赎回
2019-09-17,1.0582,-1.57,开放申购,开放赎回
2019-09-18,1.0629,0.44,开放申购,开放赎回
2019-09-19,1.0666,0.35,开放申购,开放赎回
2019-09-20,1.0695,0.27,开放申购,开放赎回
2019-09-23,1.0579,-1.08,开放申购,开放赎回
2019-09-24,1.0606,0.26,开放申购,开放赎回
2019-09-25,1.0530,-0.72,开放申购,开放赎回
2019-09-26,1.0452,-0.74,开放申购,开放赎回
2019-09-27,1.0481,0.28,开放申购,开放赎回
2019-09-30,1.0384,-0.93,开放申购,开放赎回
2019-10-08,1.0441,0.55,开放申购,开放赎回
2019-10-09,1.0455,0.13,开放申购,开放赎回
2019-10-10,1.0536,0.77,开放申购,开放赎回
2019-10-11,1.0634,0.93,开放申购,开放赎回
2019-10-14,1.0740,1.00,开放申购,开放赎回
2019-10-15,1.0696,-0.41,开放申购,开放赎回
2019-10-16,1.0660,-0.34,开放申购,开放赎回
2019-10-17,1.0666,0.06,开放申购,开放赎回
2019-10-18,1.0522,-1.35,开放申购,开放赎回
2019-10-21,1.0550,0.27,开放申购,开放赎回
2019-10-22,1.0589,0.37,开放申购,开放赎回
2019-10-23,1.0525,-0.60,开放申购,开放赎回
2019-10-24,1.0524,-0.01,开放申购,开放赎回
2019-10-25,1.0592,0.65,开放申购,开放赎回
2019-10-28,1.0668,0.72,开放申购,开放赎回
2019-10-29,1.0626,-0.39,开放申购,开放赎回
2019-10-30,1.0576,-0.47,开放申购,开放赎回
2019-10-31,1.0565,-0.10,开放申购,开放赎回
2019-11-01,1.0735,1.61,开放申购,开放赎回
2019-11-04,1.0800,0.61,开放申购,开放赎回
2019-11-05,1.0864,0.59,开放申购,开放赎回
2019-11-06,1.0818,-0.42,开放申购,开放赎回
2019-11-07,1.0835,0.16,开放申购,开放赎回
2019-11-08,1.0787,-0.44,开放申购,开放赎回
2019-11-11,1.0608,-1.66,开放申购,开放赎回
2019-11-12,1.0609,0.01,开放申购,开放赎回
2019-11-13,1.0600,-0.08,开放申购,开放赎回
2019-11-14,1.0615,0.14,开放申购,开放赎回
2019-11-15,1.0541,-0.70,开放申购,开放赎回
2019-11-18,1.0623,0.78,开放申购,开放赎回
2019-11-19,1.0723,0.94,开放申购,开放赎回
2019-11-20,1.0623,-0.93,开放申购,开放赎回
2019-11-21,1.0576,-0.44,开放申购,开放赎回
2019-11-22,1.0472,-0.98,开放申购,开放赎回
2019-11-25,1.0543,0.68,开放申购,开放赎回
2019-11-26,1.0578,0.33,开放申购,开放赎回
2019-11-27,1.0536,-0.40,开放申购,开放赎回
2019-11-28,1.0502,-0.32,开放申购,开放赎回
2019-11-29,1.0416,-0.82,开放申购,开放赎回
2019-12-02,1.0433,0.16,开放申购,开放赎回
2019-12-03,1.0472,0.37,开放申购,开放赎回
2019-12-04,1.0464,-0.08,开放申购,开放赎回
2019-12-05,1.0540,0.73,开放申购,开放赎回
2019-12-06,1.0599,0.56,开放申购,开放赎回
2019-12-09,1.0581,-0.17,开放申购,开放赎回
2019-12-10,1.0596,0.14,开放申购,开放赎回
2019-12-11,1.0604,0.08,开放申购,开放赎回
2019-12-12,1.0572,-0.30,开放申购,开放赎回
2019-12-13,1.0769,1.86,开放申购,开放赎回
2019-12-16,1.0817,0.45,开放申购,开放赎回
2019-12-17,1.0956,1.29,开放申购,开放赎回
2019-12-18,1.0933,-0.21,开放申购,开放赎回
2019-12-19,1.0918,-0.14,开放申购,开放赎回
2019-12-20,1.0892,-0.24,开放申购,开放赎回
2019-12-23,1.0763,-1.18,开放申购,开放赎回
2019-12-24,1.0829,0.61,开放申购,开放赎回
2019-12-25,1.0823,-0.06,开放申购,开放赎回
2019-12-26,1.0901,0.72,开放申购,开放赎回
2019-12-27,1.0895,-0.06,开放申购,开放赎回
2019-12-30,1.1045,1.38,开放申购,开放赎回
2019-12-31,1.1066,0.19,开放申购,开放赎回
2020-01-02,1.1213,1.33,开放申购,开放赎回
2020-01-03,1.1194,-0.17,开放申购,开放赎回
2020-01-06,1.1153,-0.37,开放申购,开放赎回
2020-01-07,1.1231,0.70,开放申购,开放赎回
2020-01-08,1.1108,-1.10,开放申购,开放赎回
2020-01-09,1.1240,1.19,开放申购,开放赎回
2020-01-10,1.1237,-0.03,开放申购,开放赎回
2020-01-13,1.1340,0.92,开放申购,开放赎回
2020-01-14,1.1305,-0.31,开放申购,开放赎回
2020-01-15,1.1245,-0.53,开放申购,开放赎回
2020-01-16,1.1200,-0.40,开放申购,开放赎回
2020-01-17,1.1215,0.13,开放申购,开放赎回
2020-01-20,1.1294,0.70,开放申购,开放赎回
2020-01-21,1.1112,-1.61,开放申购,开放赎回
2020-01-22,1.1158,0.41,开放申购,开放赎回
2020-01-23,1.0830,-2.94,开放申购,开放赎回
2020-02-03,1.0041,-7.29,开放申购,开放赎回
2020-02-04,1.0295,2.53,开放申购,开放赎回
2020-02-05,1.0402,1.04,开放申购,开放赎回
2020-02-06,1.0577,1.68,开放申购,开放赎回
2020-02-07,1.0580,0.03,开放申购,开放赎回
2020-02-10,1.0624,0.42,开放申购,开放赎回
2020-02-11,1.0717,0.88,开放申购,开放赎回
2020-02-12,1.0801,0.78,开放申购,开放赎回
2020-02-13,1.0739,-0.57,开放申购,开放赎回
2020-02-14,1.0809,0.65,开放申购,开放赎回
2020-02-17,1.1040,2.14,开放申购,开放赎回
2020-02-18,1.0989,-0.46,开放申购,开放赎回
2020-02-19,1.0972,-0.15,开放申购,开放赎回
2020-02-20,1.1212,2.19,开放申购,开放赎回
2020-02-21,1.1228,0.14,开放申购,开放赎回
2020-02-24,1.1185,-0.38,开放申购,开放赎回
2020-02-25,1.1161,-0.21,开放申购,开放赎回
2020-02-26,1.1029,-1.18,开放申购,开放赎回
2020-02-27,1.1062,0.30,开放申购,开放赎回
2020-02-28,1.0690,-3.36,开放申购,开放赎回
2020-03-02,1.1020,3.09,开放申购,开放赎回
2020-03-03,1.1075,0.50,开放申购,开放赎回
2020-03-04,1.1134,0.53,开放申购,开放赎回
2020-03-05,1.1369,2.11,开放申购,开放赎回
2020-03-06,1.1190,-1.57,开放申购,开放赎回
2020-03-09,1.0822,-3.29,开放申购,开放赎回
2020-03-10,1.1039,2.01,开放申购,开放赎回
2020-03-11,1.0899,-1.27,开放申购,开放赎回
2020-03-12,1.0701,-1.82,开放申购,开放赎回
2020-03-13,1.0565,-1.27,开放申购,开放赎回
2020-03-16,1.0138,-4.04,开放申购,开放赎回
2020-03-17,1.0091,-0.46,开放申购,开放赎回
2020-03-18,0.9901,-1.88,开放申购,开放赎回
2020-03-19,0.9782,-1.20,开放申购,开放赎回
2020-03-20,0.9945,1.67,开放申购,开放赎回
2020-03-23,0.9632,-3.15,开放申购,开放赎回
2020-03-24,0.9867,2.44,开放申购,开放赎回
2020-03-25,1.0112,2.48,开放申购,开放赎回
2020-03-26,1.0051,-0.60,开放申购,开放赎回
2020-03-27,1.0081,0.30,开放申购,开放赎回
